gameLabel,source,target,weight
BanG Dream,UC_rBq4krCeJu2pfw4IxBWqg,UCwlYQXIXE0l5BtZg1fyaFCA,7
BanG Dream,UCM7C0Lm90V0y0-oyX7oyWfA,UC99ktfger3_kkdniFjJYD-Q,5
BanG Dream,UCQRK-OWYwCbPo44QPP7zyZw,UCk40eKOLYpghLZFOUf-x0NQ,5
BanG Dream,UCcvamSYgQAq9O4Wcnt1nNMw,UC5lARryz36U5L3X3T0pPs6g,5
BanG Dream,UCl98K4WD2j2ymgxqHDYA8VQ,UCBbqU5zbuQVCr9QNtGwhVEQ,5
BanG Dream,UClFjSgFTKNOp7I8MYvJr_XQ,UCiw5H6HQhtwN_s_7v2eMy6A,5
BanG Dream,UCt6by3wqSWXJQRmOeFPXNyQ,UC4mJbtMKLaJJxSD9NWhpOqA,5
BanG Dream,UC0CNzpIarcRJHVLHUANM4-w,UCNdwl-yEBoMd3CjvDh0yO3A,4
BanG Dream,UC3GZaL29jJsfpxzYnpyh0NQ,UCd4EV3sXxo4x4vSCAS7RB1w,4
BanG Dream,UCFmf0Tc7rbyfB0QtXzPwuoA,UCAytaLT0Idw4ATeDqFogDBA,4
BanG Dream,UCdB7hnPenQsDvHQkwdUPGgQ,UCulzAY3Rz4K3_sbxV5Dt27A,4
BanG Dream,UCdgEzQ7Xo5360S3-zU8AlDw,UCu9D-mvLsW1oB_TY4bGZH-Q,4
BanG Dream,UCfeZKh1utDotdMtX24-DPNA,UCMXlpOxHK74Do_GIuUIqRWA,4
BanG Dream,UCl2TwIIN0CTg0nk4vA818Qw,UC69NIIWxMi2A26_cC5G_e4w,4
BanG Dream,UC-_2RzvmpkWGWWVT3VL31bQ,UC4mJbtMKLaJJxSD9NWhpOqA,3
BanG Dream,UC6b_CMw2zvj-eDaW_MCxfqA,UC0EbzboUWY_3-0nG7xRGM3g,3
BanG Dream,UC6iJC-AjT1ARI3QolQnHzIQ,UCYOlIDsw45ZPccY6Bf7djUA,3
BanG Dream,UC7HpGnd1NL-w43JZMACxBVg,UCd4EV3sXxo4x4vSCAS7RB1w,3
BanG Dream,UCEJAexYO4HE4lNidVpe3s5g,UCksb_mKWgrDU88EyR-dLzXA,3
BanG Dream,UCFs1NfS_q3GUJJyUsTskgCw,UC0Cd162c86N6Wm6ffX_Vn8A,3
BanG Dream,UCH9HC3uA7ptG4IV6NxDXjog,UCo94mQrgZn_4fbgHHENceOg,3
BanG Dream,UCI4qYyVgqO5LaBpNNylfvcA,UCNOQ_6-xJpeBmkR_UPIn_NA,3
BanG Dream,UCICXPqhSsZPB7eCWUnio8_g,UCIPEm8UcJwOFeX3QuKtYdmA,3
BanG Dream,UCJ9lYnzTxOTln9p-JKQs8jA,UCDYXkDvRZLZm-rJ4IJM94wA,3
BanG Dream,UCJE4H6pz3OoVjwE0qrvkkig,UCNOQ_6-xJpeBmkR_UPIn_NA,3
BanG Dream,UCLOz-apn9ziTyqXsUFlS_CQ,UCla9aAQs1Wd-rlrYpfIMKlA,3
BanG Dream,UCTOFRJ6YQ05g2MbUxso7iUQ,UCiw5H6HQhtwN_s_7v2eMy6A,3
BanG Dream,UCUZiQqhu4MIu6qVAIum6ZRQ,UCmtbvHXhfTZRJ4uO-qERh_Q,3
BanG Dream,UCa1ZJ0V0gZJ9kofkWSEemtQ,UCxQ2DNUHjX9y0G6R2C8S0Iw,3
